,Survived
625,0
566,0
459,0
804,1
338,1
745,0
277,0
473,1
157,0
427,1
198,1
504,1
431,1
252,0
549,1
458,1
428,0
452,0
717,1
430,1
860,0
203,0
216,1
321,0
71,0
495,0
306,1
40,0
824,0
817,0
576,1
380,1
776,0
259,1
730,1
49,0
560,0
684,0
790,0
263,0
17,1
205,0
489,1
166,1
779,1
244,0
578,0
541,0
27,0
868,0
714,0
463,0
347,1
587,1
212,0
442,0
826,0
55,1
62,0
582,0
444,1
646,0
734,0
880,1
592,0
775,0
836,0
472,1
239,0
666,0
571,1
102,0
162,0
596,1
743,0
876,0
712,1
353,0
864,0
655,0
295,0
669,1
341,1
296,0
843,0
146,1
564,0
340,1
863,0
570,1
290,1
886,0
485,0
447,1
351,0
644,1
199,0
593,0
126,0
335,0
137,0
869,1
853,1
759,1
148,0
397,0
211,1
153,0
799,0
371,0
441,0
559,1
386,0
642,0
480,0
511,0
698,0
830,1
518,1
726,1
883,0
526,1
536,0
795,0
389,1
369,1
83,0
165,1
879,1
732,0
246,0
241,1
322,1
91,0
1,1
501,0
279,1
502,0
7,0
580,1
841,0
11,1
29,0
555,0
671,0
703,0
731,0
457,1
87,0
466,0
728,0
423,0
651,1
115,0
72,0
349,0
640,0
681,1
756,0
180,0
438,0
764,0
84,1
553,1
773,0
419,0
152,0
16,0
82,1
275,1
699,0
390,1
749,0
639,0
88,1
39,1
65,1
333,0
186,1
866,1
475,0
558,1
532,0
422,0
354,0
486,1
410,0
676,0
396,0
352,0
75,0
643,1
484,1
9,1
196,0
142,1
443,1
143,0
659,0
690,1
377,0
106,1
603,0
878,0
835,1
350,0
435,1
823,1
565,0
59,0
370,1
634,0
245,0
329,1
401,0
814,0
683,0
701,1
138,0
23,1
328,1
411,0
90,0
154,0
534,0
366,1
271,1
261,1
336,0
455,1
614,0
204,1
99,0
792,0
417,1
515,0
293,0
612,1
685,0
735,0
160,0
4,0
752,0
758,0
810,0
324,0
530,1
637,0
433,0
815,0
802,1
300,1
38,0
361,0
375,1
297,0
492,0
513,1
105,0
679,1
415,0
92,0
718,0
184,1
607,1
624,0
103,0
387,1
